epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,1370.87,0.48067,0.3387,0.00545,0.98344,0.90121,0.98799,0.86021,0.52374,0.26895,0.00953,0.000488218,0.000488218,0.000488218
135,1380.87,0.50932,0.34371,0.00662,0.90428,0.98579,0.98884,0.87408,0.52088,0.25944,0.00949,0.000481144,0.000481144,0.000481144
136,1390.8,0.48219,0.35245,0.00554,0.93944,0.96062,0.98589,0.86321,0.52405,0.26929,0.00943,0.000474071,0.000474071,0.000474071
137,1400.67,0.49121,0.35961,0.00582,0.96594,0.95541,0.98838,0.86817,0.51238,0.24767,0.00917,0.000466997,0.000466997,0.000466997
138,1410.71,0.51246,0.36279,0.00584,0.99762,0.94796,0.98981,0.87853,0.50723,0.25831,0.00917,0.000459924,0.000459924,0.000459924
139,1420.67,0.49531,0.35608,0.00594,0.98047,0.97302,0.98987,0.84907,0.56095,0.26078,0.01012,0.00045285,0.00045285,0.00045285
140,1430.71,0.48853,0.34968,0.00577,0.9801,0.97893,0.9927,0.85832,0.54511,0.23065,0.00987,0.000445777,0.000445777,0.000445777
141,1440.66,0.51483,0.3781,0.00593,0.98594,0.96772,0.99397,0.87086,0.52766,0.22088,0.00951,0.000438703,0.000438703,0.000438703
142,1450.67,0.4868,0.34945,0.00601,0.97775,0.97138,0.99093,0.87426,0.52392,0.24181,0.00945,0.000431629,0.000431629,0.000431629
143,1460.59,0.50551,0.37609,0.00563,0.93959,0.98841,0.99149,0.86827,0.52285,0.25107,0.00941,0.000424556,0.000424556,0.000424556
144,1470.4,0.49299,0.33822,0.00583,0.9491,0.98717,0.99154,0.86618,0.51905,0.23545,0.00942,0.000417482,0.000417482,0.000417482
145,1480.47,0.5003,0.35346,0.0061,0.95702,0.97595,0.99202,0.85453,0.54777,0.24543,0.00982,0.000410409,0.000410409,0.000410409
146,1490.43,0.49141,0.35299,0.00584,0.95143,0.97658,0.99304,0.86584,0.53075,0.23494,0.00955,0.000403335,0.000403335,0.000403335
147,1500.28,0.47991,0.33448,0.00582,0.97633,0.96488,0.99125,0.86894,0.54814,0.23984,0.00989,0.000396262,0.000396262,0.000396262
148,1510.27,0.49302,0.31779,0.00597,0.94048,0.9771,0.99077,0.86137,0.52077,0.22977,0.00939,0.000389188,0.000389188,0.000389188
149,1520.24,0.50618,0.34451,0.00592,0.956,0.97577,0.99086,0.85641,0.53105,0.2244,0.00953,0.000382115,0.000382115,0.000382115
150,1530.37,0.47855,0.34847,0.00555,0.9682,0.97933,0.99162,0.85099,0.54436,0.23409,0.00982,0.000375041,0.000375041,0.000375041
151,1540.46,0.4964,0.36159,0.00578,0.95944,0.97476,0.99271,0.87115,0.51922,0.22569,0.00938,0.000367967,0.000367967,0.000367967
152,1550.16,0.50126,0.35655,0.00569,0.98905,0.95823,0.99098,0.86571,0.53591,0.24038,0.00983,0.000360894,0.000360894,0.000360894
153,1559.94,0.48074,0.33138,0.00565,0.9755,0.95077,0.98828,0.87317,0.52979,0.24577,0.00968,0.00035382,0.00035382,0.00035382
154,1570.13,0.48474,0.32974,0.00581,0.98847,0.93465,0.99035,0.85711,0.54314,0.25003,0.0098,0.000346747,0.000346747,0.000346747
155,1580.12,0.49473,0.34839,0.00586,0.99315,0.90998,0.99015,0.86981,0.53705,0.26363,0.00968,0.000339673,0.000339673,0.000339673
156,1589.89,0.46316,0.33998,0.00539,0.94943,0.95174,0.99034,0.88244,0.50944,0.25105,0.00925,0.0003326,0.0003326,0.0003326
157,1600.11,0.44803,0.2973,0.00525,0.94149,0.96974,0.99173,0.87675,0.51967,0.23713,0.00958,0.000325526,0.000325526,0.000325526
158,1609.98,0.4941,0.38135,0.00598,0.97468,0.95226,0.99095,0.87674,0.52014,0.23371,0.00957,0.000318453,0.000318453,0.000318453
159,1620.5,0.44444,0.32898,0.00505,0.97764,0.94105,0.98689,0.86755,0.51551,0.24268,0.00935,0.000311379,0.000311379,0.000311379
160,1630.72,0.4585,0.33001,0.00553,0.98268,0.89539,0.98338,0.8702,0.51605,0.27283,0.00933,0.000304306,0.000304306,0.000304306
161,1640.85,0.49926,0.36057,0.00641,0.98082,0.94146,0.98682,0.86698,0.52513,0.25478,0.00952,0.000297232,0.000297232,0.000297232
162,1650.81,0.47973,0.36736,0.00547,0.98838,0.93662,0.98559,0.87156,0.5173,0.25707,0.00947,0.000290158,0.000290158,0.000290158
163,1660.94,0.47064,0.32054,0.00534,0.95515,0.9632,0.98559,0.86866,0.50945,0.25786,0.0093,0.000283085,0.000283085,0.000283085
164,1670.81,0.46602,0.32434,0.00554,0.9677,0.94607,0.98539,0.87473,0.5143,0.26316,0.00931,0.000276011,0.000276011,0.000276011
165,1681.01,0.44694,0.3064,0.00544,0.9554,0.97214,0.98749,0.87477,0.51907,0.24804,0.00941,0.000268938,0.000268938,0.000268938
166,1690.87,0.47831,0.35722,0.00536,0.97077,0.94113,0.98929,0.8686,0.52802,0.25596,0.00956,0.000261864,0.000261864,0.000261864
